time,angSpeedX,angSpeedY,angSpeedZ,accelX,accelY,accelZ,magnetX,magnetY,magnetZ,altitude,latitude,longitude,state
3180.86,0.04,-0.01,-0.11,-0.94,-9.41,-1.41,12.36,45.91,-13.47,39.64,0.000000,0.000000,0
3181.07,0.03,-0.01,-0.11,-0.47,-9.41,-0.94,12.36,46.09,-12.86,39.54,0.000000,0.000000,0
3181.29,0.04,-0.01,-0.11,-0.94,-9.41,-1.41,12.36,46.18,-13.27,39.64,0.000000,0.000000,0
3181.50,0.04,-0.01,-0.11,-0.47,-9.41,-1.41,12.27,46.09,-13.16,38.96,0.000000,0.000000,0
3181.71,0.03,-0.02,-0.11,-0.94,-9.41,-1.41,12.09,46.18,-13.37,39.35,0.000000,0.000000,0
3181.93,0.03,-0.01,-0.11,-0.47,-9.41,-0.94,12.55,46.00,-13.27,40.13,0.000000,0.000000,0
3182.14,0.04,-0.02,-0.11,-0.47,-9.41,-1.88,12.27,45.91,-13.06,39.64,0.000000,0.000000,0
3182.35,0.03,-0.01,-0.11,0.00,-9.41,-0.94,12.36,46.00,-12.96,39.45,0.000000,0.000000,0
3182.56,0.03,-0.02,-0.11,-0.47,-9.41,-0.94,12.36,46.18,-13.37,39.16,0.000000,0.000000,0
3182.78,0.04,-0.02,-0.11,-0.47,-9.41,-0.94,12.00,45.91,-13.16,39.64,0.000000,0.000000,0
3182.99,0.03,-0.02,-0.11,-0.47,-9.41,-1.41,12.55,46.00,-13.57,39.74,0.000000,0.000000,0
3183.20,0.04,-0.01,-0.11,-0.47,-8.94,-1.41,12.45,46.09,-13.37,39.93,0.000000,0.000000,0
3183.42,0.03,-0.02,-0.11,-0.94,-9.41,-0.94,12.36,46.09,-13.27,39.06,0.000000,0.000000,0
3183.63,0.03,-0.01,-0.11,-0.94,-9.41,-0.94,12.27,46.27,-13.06,39.64,0.000000,0.000000,0
3183.84,0.04,-0.02,-0.11,-0.94,-9.89,-1.41,12.18,46.00,-13.27,39.35,0.000000,0.000000,0
